Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,5886248,100,11.30,175,11.25,11.26,5731335,154913
VXX,3598735,100,17.46,100,17.36,17.42,3530928,67807
ARKG,2571711,200,94.16,4,94.13,94.16,2545604,26107
IEFA,1090396,2,73.00,8,68.00,69.80,1078798,11598
ITB,610240,120,57.50,1,55.44,56.47,598835,11405
RSX,504549,15,24.15,11,23.99,24.14,498540,6009
VIXY,456880,407,14.31,116,14.24,14.27,452678,4202
SVXY,397983,38,40.73,18,40.65,40.71,393201,4782
GOVT,338130,200,28.00,100,26.97,27.34,338119,11
INDA,325434,1,39.95,52,39.00,39.87,322458,2976
USMV,300700,200,68.00,489,67.00,67.20,298899,1801
EZU,292184,5,45.00,0,0.00,44.64,286545,5639
IGV,269897,2,364.50,1,352.00,353.35,265296,4601
ARKQ,208191,12,74.91,29,74.39,74.91,208059,132
MTUM,206984,17,162.25,100,158.20,160.54,206541,443
CBOE,198246,8,94.50,1,91.10,91.62,197335,911
PICK,161531,0,0.00,100,35.50,36.74,153314,8217
REM,140405,25,32.00,100,30.46,31.48,119607,20798
EFAV,138410,125,74.75,0,0.00,73.63,135535,2875
USHY,134865,26,42.50,100,40.76,41.13,129463,5402
VLUE,123754,139,90.00,0,0.00,85.71,120979,2775
QUAL,120313,9,116.00,1,113.00,115.20,119835,478
BBEU,103288,0,0.00,1000,26.00,26.46,99257,4031
EFV,95452,13,48.00,0,0.00,47.53,93962,1490
NOBL,87442,10,81.30,2,78.22,78.82,85661,1781
JPST,81512,5840,50.83,113,50.82,50.82,80412,1100
IDV,75500,100,29.98,1,29.40,29.70,75361,139
BBJP,73459,0,0.00,100,26.80,27.90,72427,1032
PAVE,69477,0,0.00,100,20.55,20.91,69166,311
ECH,68314,250,30.50,60,29.20,30.01,67791,523
VNM,66305,391,17.50,21,17.36,17.49,66161,144
MOAT,65255,100,63.72,0,0.00,61.58,64764,491
ESGV,64364,0,0.00,14,69.00,69.81,64364,0
IGE,63965,0,0.00,175,22.37,23.07,63765,200
ICSH,54855,2300,50.53,500,50.51,50.53,54855,0
FDEC,54514,0,0.00,0,0.00,30.50,54514,0
HYD,46829,100,63.00,2,59.60,61.46,45639,1190
ITA,38000,200,94.92,40,93.16,93.88,37228,772
OMFL,37622,0,0.00,0,0.00,39.16,37622,0
BBCA,35123,0,0.00,0,0.00,26.91,34322,801
HEFA,34786,100,32.00,0,0.00,30.71,34332,454
EEMV,34511,275,60.90,0,0.00,60.87,33652,859
BBAX,32477,0,0.00,0,0.00,27.02,31327,1150
SMMD,32200,0,0.00,3,56.00,56.38,32200,0
EFG,31543,2,108.00,0,0.00,101.39,31143,400
NEAR,29715,2000,50.17,700,50.14,50.15,27765,1950
ACWV,27534,45,101.00,0,0.00,96.38,26167,1367
VSGX,21814,0,0.00,0,0.00,59.16,21814,0
TAIL,20928,26,21.00,30,20.50,20.58,20928,0
ICF,20565,0,0.00,0,0.00,52.89,20274,291
FLOT,19288,500,50.74,500,50.71,50.73,19126,162
IEO,18655,0,0.00,0,0.00,35.13,18504,151
ACES,18356,10,79.02,1,77.46,77.63,18356,0
GSEW,16026,0,0.00,0,0.00,57.17,16026,0
OGIG,15853,1,56.00,100,53.96,54.16,15549,304
PRNT,15564,50,31.40,2,30.75,30.80,15273,291
SLVP,15285,200,16.77,2,16.35,16.63,15285,0
IYZ,14743,0,0.00,3,29.81,30.06,14143,600
PTMC,14283,0,0.00,0,0.00,32.48,13268,1015
QDEC,13498,0,0.00,0,0.00,20.03,13498,0
ESML,12869,0,0.00,0,0.00,33.84,11269,1600
PTLC,12625,0,0.00,0,0.00,32.48,11578,1047
IFRA,11897,0,0.00,0,0.00,29.60,11296,601
CNYA,11681,0,0.00,30,41.04,41.22,11148,533
TMFC,11421,1000,37.12,100,35.10,35.20,11392,29
IAGG,11211,0,0.00,7,56.05,56.09,10994,217
ICVT,10615,0,0.00,2,95.13,95.49,10615,0
FDEM,10562,0,0.00,0,0.00,26.94,10562,0
PAWZ,10468,0,0.00,1,71.20,71.45,5127,5341
MFMS,10433,0,0.00,5,38.15,38.76,10433,0
IZRL,10053,0,0.00,7,29.29,29.29,9713,340
FBCG,9350,100,30.00,0,0.00,28.57,9350,0
UOCT,9100,0,0.00,0,0.00,26.76,9100,0
SMB,9019,0,0.00,0,0.00,18.12,9019,0
FCTR,8870,0,0.00,0,0.00,29.37,8870,0
GVI,8073,0,0.00,0,0.00,117.52,7223,850
FLDR,8059,0,0.00,0,0.00,51.03,8059,0
OUSA,7750,10,38.20,3,37.95,38.02,6996,754
UJAN,7337,0,0.00,0,0.00,29.77,7337,0
ITM,7286,101,52.25,0,0.00,51.99,7165,121
XJH,7231,0,0.00,0,0.00,31.53,7231,0
EMGF,6944,0,0.00,0,0.00,48.40,6796,148
DSEP,6500,0,0.00,0,0.00,31.01,6500,0
SMDV,6497,35,59.46,25,54.35,56.63,5897,600
BBUS,6474,0,0.00,0,0.00,68.36,5774,700
JMST,6236,0,0.00,0,0.00,51.04,6036,200
DRSK,6045,0,0.00,40,28.45,29.37,6045,0
IMLP,5807,0,0.00,0,0.00,9.36,5807,0
PAPR,5802,1000,27.40,0,0.00,27.27,5302,500
RYLD,5776,50,22.96,22,22.49,22.73,5776,0
MLN,5770,0,0.00,91,20.90,21.77,5770,0
SVAL,5686,0,0.00,0,0.00,24.32,5686,0
ACIO,5569,0,0.00,0,0.00,27.68,5569,0
EMHY,5550,40,47.10,113,44.93,46.31,5550,0
VCEB,5522,0,0.00,30,75.40,76.18,5522,0
ATMP,5519,0,0.00,0,0.00,11.67,5519,0
PJAN,5518,0,0.00,0,0.00,30.60,5518,0
CALF,5495,0,0.00,0,0.00,30.97,5495,0
GSST,5402,0,0.00,0,0.00,50.79,5402,0
EPRF,5007,0,0.00,1,24.60,24.76,5007,0
OILK,4991,1100,48.00,1100,38.00,42.62,4991,0
HEEM,4978,0,0.00,0,0.00,30.45,4778,200
SHYD,4934,0,0.00,0,0.00,24.76,4934,0
SMMV,4923,88,34.20,9,32.76,33.65,4923,0
CSM,4877,0,0.00,0,0.00,83.66,4877,0
